source,relation,target
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-HR42VFK2-E1
CVE-2026-50881,affects,n/a:n/a
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN60VG2W-ER1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV7120S-T
CVE-2026-46784,affects,Oracle Corporation:WebCenter Content: Imaging
CAPEC-474,maps_to,T1134.001
CAPEC-445,maps_to,T1493
CAPEC-681,maps_to,T1555.002
CWE-209,mapped_to,CAPEC-463
CAPEC-452,maps_to,T1195.003
CVE-2026-12310,has_weakness,CWE-125
CAPEC-523,maps_to,T1204.002
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV2224-W
CWE-1239,mapped_to,CAPEC-204
CVE-2025-69173,affects,ThemeREX:Tipsy
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF25VGKW-E2
CAPEC-677,maps_to,T1584.007
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XD2824S-W
CVE-2026-46957,affects,Oracle Corporation:Oracle iSupplier Portal
CAPEC-276,maps_to,T1572
CAPEC-551,maps_to,T1559.003
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW2221-T
CVE-2026-55205,has_weakness,CWE-770
CVE-2026-10623,affects,"pressprimer:PressPrimer Quiz – AI Quiz Maker, Exam Builder & LMS Assessment Plugin"
CAPEC-146,maps_to,T1557.002
CVE-2026-46906,affects,Oracle Corporation:JD Edwards EnterpriseOne Tools
CVE-2026-54817,has_weakness,CWE-288
CAPEC-459,maps_to,T1596.003
CAPEC-580,maps_to,T1562.012
CAPEC-522,maps_to,T1122
CAPEC-133,maps_to,T1043
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW2522-T-2
CVE-2026-52707,affects,Mikado-Themes:Kastell
T1599.001,mitigated_by,Password Policies
CAPEC-160,maps_to,T1499.004
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN18VG3W-E1
CVE-2026-12093,affects,wpinsider-1:Simple Membership
CAPEC-385,maps_to,T1565
CVE-2025-59872,affects,HCL Software:ZIE
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZV8024S-W
CWE-200,mapped_to,CAPEC-313
CVE-2026-10093,affects,deepakkite:Secure Client Portal and Private File Sharing Plugin – User Private Files
CVE-2025-69108,affects,ThemeREX:Hot Coffee
CAPEC-115,maps_to,T1556.003
CAPEC-257,maps_to,T1487
CAPEC-109,maps_to,T1021.003
CAPEC-635,maps_to,T1204
CAPEC-698,maps_to,T1574.005
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV3625S-W
CVE-2026-54387,has_weakness,CWE-444
CAPEC-76,maps_to,T1569.003
CVE-2025-69116,has_weakness,CWE-98
CVE-2026-35313,has_weakness,CWE-284
CAPEC-522,maps_to,T1204.004
CVE-2026-49337,has_weakness,CWE-770
CAPEC-594,maps_to,T1546.012
CVE-2026-12222,affects,Yealink:SIP-T46U
T1553.006,mitigated_by,Privileged Account Management
CVE-2026-12323,affects,Mozilla:Firefox
CWE-15,mapped_to,CAPEC-203
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-RK6324S-W
CWE-319,mapped_to,CAPEC-477
CAPEC-625,maps_to,T1652
CAPEC-124,maps_to,T1051
CAPEC-15,maps_to,T1070.003
CAPEC-82,maps_to,T1021.007
CVE-2026-4110,affects,Unknown:ultimate-woocommerce-auction-pro
CVE-2026-47774,has_weakness,CWE-770
CVE-2026-12456,has_weakness,CWE-20
CAPEC-561,maps_to,T1651
CAPEC-533,maps_to,T1063
CAPEC-649,maps_to,T1036.006
T1132.002,mitigated_by,Network Intrusion Prevention
CVE-2026-54419,has_weakness,CWE-89
CAPEC-531,maps_to,T1175
CAPEC-575,maps_to,T1136.003
CVE-2026-56299,affects,Capgo:Capgo
CVE-2026-23970,affects,Themeisle:Redirection for Contact Form 7
CAPEC-101,maps_to,T1055.002
CAPEC-200,maps_to,T1141
CVE-2026-34029,has_weakness,CWE-321
CWE-473,mapped_to,CAPEC-77
CVE-2026-12628,affects,IBM:Storage Protect Client
CAPEC-575,maps_to,T1087.004
CAPEC-439,maps_to,T1492
CAPEC-560,maps_to,T1552.001
CAPEC-583,maps_to,T1602.002
CWE-833,mapped_to,CAPEC-25
CAPEC-278,maps_to,T1024
T1602,mitigated_by,Software Configuration
CAPEC-471,maps_to,T1563.002
CVE-2026-0144,affects,Google:Android
CVE-2026-56211,affects,Red Hat:Red Hat Enterprise Linux 9
T1059,mitigated_by,Restrict Web-Based Content
CVE-2024-32729,affects,QuantumCloud:Conversational Forms for ChatBot
CVE-2026-42655,has_weakness,CWE-472
CWE-311,mapped_to,CAPEC-387
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN60VG2B-ET5
CAPEC-624,maps_to,T1546.012
CVE-2026-12430,affects,creativethemeshq:Blocksy Companion
CWE-74,mapped_to,CAPEC-43
CAPEC-677,maps_to,T1584.002
CAPEC-575,maps_to,T1036.010
CAPEC-580,maps_to,T1601.002
CVE-2026-12325,affects,Mozilla:Firefox
CAPEC-578,maps_to,T1101
CAPEC-636,maps_to,T1204.004
CVE-2026-11718,has_weakness,CWE-287
CVE-2025-69174,has_weakness,CWE-98
CWE-180,mapped_to,CAPEC-3
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZ6324S-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VG3R-E1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XK3624-W
CVE-2026-12448,affects,Google:Chrome
CAPEC-235,maps_to,T1601
CVE-2026-48768,affects,baptisteArno:typebot.io
T1542.005,mitigated_by,Network Intrusion Prevention
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF22VGK2B-ET1
CVE-2025-60236,affects,EMV:Creatify
CVE-2026-48167,has_weakness,CWE-79
CWE-99,mapped_to,CAPEC-240
CAPEC-187,maps_to,T1204.001
T1602.001,mitigated_by,Update Software
CAPEC-539,maps_to,T1204.002
CAPEC-501,maps_to,T1563.001
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-BT50VGK2-ET2
CAPEC-560,maps_to,T1484
CVE-2026-49070,has_weakness,CWE-862
CAPEC-654,maps_to,T1684.001
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Refrigerators (for Japan) MR-BD46N
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY50VGKP-ET1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Bathroom Dryer / Heater / Ventilation Systems (for Japan) V-241BZ-RC
CAPEC-204,maps_to,T1558.005
CVE-2026-46901,has_weakness,CWE-269
CVE-2026-40781,has_weakness,CWE-288
CAPEC-700,maps_to,T1556.008
CVE-2026-12810,has_weakness,CWE-74
CVE-2026-35285,affects,Oracle Corporation:Oracle WebCenter Enterprise Capture
CVE-2026-46809,affects,Oracle Corporation:Oracle WebCenter Sites
CWE-330,mapped_to,CAPEC-112
CAPEC-562,maps_to,T1685.002
T1484.002,mitigated_by,Privileged Account Management
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-BXV6326S-W
CVE-2026-49776,affects,JExtensions Store:GPTranslate – Multilingual AI Translation for WordPress: Automatically Translate Websites
T1210,mitigated_by,Vulnerability Scanning
CAPEC-478,maps_to,T1553.006
CAPEC-549,maps_to,T1078.003
CVE-2026-46894,has_weakness,CWE-601
T1098.004,mitigated_by,Disable or Remove Feature or Program
CAPEC-177,maps_to,T1552.001
T1599,mitigated_by,Credential Access Protection
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZV6324S-W
CAPEC-73,maps_to,T1036.006
CVE-2026-48814,has_weakness,CWE-306
CWE-309,mapped_to,CAPEC-555
T1566,mitigated_by,Software Configuration
CWE-200,mapped_to,CAPEC-309
T1553.005,mitigated_by,Execution Prevention
T1210,mitigated_by,Disable or Remove Feature or Program
CWE-284,mapped_to,CAPEC-552
CVE-2026-46929,has_weakness,CWE-269
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV5621S-W
CVE-2026-46769,affects,Oracle Corporation:Oracle Application Development Framework (ADF)
CAPEC-681,maps_to,T1212
CVE-2025-71378,has_weakness,CWE-502
CWE-200,mapped_to,CAPEC-59
CAPEC-470,maps_to,T1569.003
CAPEC-485,maps_to,T1672
CVE-2026-22335,has_weakness,CWE-89
T1552.002,mitigated_by,Privileged Account Management
CVE-2026-46931,affects,Oracle Corporation:Oracle Enterprise Asset Management
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW3623S-W
T1574.007,mitigated_by,Execution Prevention
CAPEC-520,maps_to,T1546.015
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZY2223-W
CAPEC-501,maps_to,T1122
CVE-2026-40456,has_weakness,CWE-78
CWE-1286,mapped_to,CAPEC-66
CVE-2026-12309,affects,Mozilla:Firefox
T1552.006,mitigated_by,Update Software
CVE-2026-56348,has_weakness,CWE-918
CAPEC-131,maps_to,T1036.005
CAPEC-57,maps_to,T1614.001
CAPEC-65,maps_to,T1546.011
CVE-2026-39006,has_weakness,CWE-73
CVE-2026-3195,affects,Red Hat:Red Hat Enterprise Linux 7
CVE-2026-56446,affects,misp:misp
CVE-2026-0138,has_weakness,CWE-120
CAPEC-531,maps_to,T1592.001
CVE-2026-46903,has_weakness,CWE-306
CVE-2026-48157,has_weakness,CWE-79
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF42VGKS-ER2
CAPEC-478,maps_to,T1574.010
CAPEC-640,maps_to,T1559
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF42VGKS-E2
CAPEC-249,maps_to,T1183
CAPEC-150,maps_to,T1163
CAPEC-309,maps_to,T1590.003
CAPEC-563,maps_to,T1129
CAPEC-470,maps_to,T1601.001
CVE-2026-46846,affects,Oracle Corporation:Oracle WebCenter Portal
CVE-2026-50643,affects,rui314:8cc
CAPEC-57,maps_to,T1499.004
CVE-2026-53923,has_weakness,CWE-681
CAPEC-530,maps_to,T1542.002
CWE-285,mapped_to,CAPEC-647
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY50VGKP2-E1
CWE-287,mapped_to,CAPEC-94
CAPEC-466,maps_to,T1615
CAPEC-211,maps_to,T1066
CVE-2026-56326,affects,Nuxt:Nuxt
CVE-2026-40721,affects,BdThemes:Element Pack Pro
CVE-2026-48853,has_weakness,CWE-770
CVE-2026-35276,affects,Oracle Corporation:PeopleSoft Enterprise PT PeopleTools
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY50VGKP2-SC2
CAPEC-386,maps_to,T1138
CAPEC-478,maps_to,T1058
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VG2B-E1
CVE-2026-12137,affects,"phppoet:SysBasics Customize My Account for WooCommerce – Dashboard, Endpoints, Avatar & Menu Manager"
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XK6323S-W
CAPEC-215,maps_to,T1550.001
CAPEC-250,maps_to,T1221
CAPEC-583,maps_to,T1135
CWE-181,mapped_to,CAPEC-78
CAPEC-578,maps_to,T1045
CAPEC-144,maps_to,T1583.006
CVE-2026-1765,affects,Red Hat:Red Hat Enterprise Linux 8
T1003.001,mitigated_by,Operating System Configuration
CAPEC-694,maps_to,T1120
CAPEC-511,maps_to,T1219.002
CVE-2026-22551,has_weakness,CWE-829
CVE-2026-39589,affects,A WP Life:Webenvo
CVE-2025-69158,affects,ThemeREX:Granola
CWE-770,mapped_to,CAPEC-130
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN25VG2W-EN1
CAPEC-273,maps_to,T1027.006
CAPEC-564,maps_to,T1037.001
CAPEC-106,maps_to,T1081
CVE-2026-40743,has_weakness,CWE-862
CVE-2026-2674,affects,RTI:Connext Professional
T1557.001,mitigated_by,Disable or Remove Feature or Program
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-VXV4026S-W
CAPEC-643,maps_to,T1051
CVE-2025-69175,affects,ThemeREX:Line Agency
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-BT35VGK2-E2
CVE-2026-44646,affects,harttle:liquidjs
CAPEC-306,maps_to,T1059.003
CAPEC-76,maps_to,T1499.004
CVE-2026-46881,has_weakness,CWE-284
CVE-2026-12799,affects,BerriAI:litellm
CAPEC-445,maps_to,T1156
CAPEC-574,maps_to,T1682
CWE-662,mapped_to,CAPEC-25
CVE-2026-35313,affects,Oracle Corporation:Oracle Access Manager
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VGDB-A1
CVE-2026-54222,affects,UBB Systems:UBB.threads
CWE-1334,mapped_to,CAPEC-624
CAPEC-11,maps_to,T1584.004
CVE-2026-50242,has_weakness,CWE-306
CVE-2026-42488,affects,Xen:Xen
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-RZ35VU-E2
CAPEC-111,maps_to,T1122
CVE-2026-56342,affects,AVideo:AVideo
CAPEC-80,maps_to,T1088
CVE-2026-48854,affects,elixir-grpc:grpc
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY25VGKP2-ET2
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XK2826-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM6322E1S-W-1
CWE-372,mapped_to,CAPEC-74
CVE-2026-12292,affects,Mozilla:Firefox
CAPEC-555,maps_to,T1098.001
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY42VGK2B-SC6
CVE-2026-39499,affects,Wombat Plugins:Advanced Product Fields (Product Addons) for WooCommerce
CVE-2026-5079,affects,multer:multer
T1021,mitigated_by,Limit Access to Resource Over Network
CVE-2026-35303,affects,Oracle Corporation:WebLogic Server
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZY2826-W
CAPEC-564,maps_to,T1219.002
CVE-2026-34893,affects,WebGeniusLab:Thegov Core
CAPEC-551,maps_to,T1562.004
CVE-2026-35267,has_weakness,CWE-306
T1195.002,mitigated_by,Vulnerability Scanning
CAPEC-94,maps_to,T1557
CVE-2026-39523,affects,Elated-Themes:Solene Core
CVE-2016-20090,has_weakness,CWE-428
CAPEC-272,maps_to,T1021.001
CAPEC-664,maps_to,T1216.002
CWE-180,mapped_to,CAPEC-71
CVE-2025-58175,has_weakness,CWE-20
CVE-2026-12295,has_weakness,CWE-693
CVE-2026-46789,has_weakness,CWE-306
CVE-2026-39492,has_weakness,CWE-89
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-KZA18VFK
CAPEC-157,maps_to,T1040
CVE-2026-56385,has_weakness,CWE-639
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN60VG3R-A1
CVE-2026-0151,has_weakness,CWE-190
CVE-2026-56425,affects,misp:misp
T1566.004,mitigated_by,User Training
CAPEC-581,maps_to,T1167
CVE-2026-49082,affects,"Chatway Live Chat:Chatway Live Chat &#8211; AI Chatbot, Customer Support, FAQ &amp; Helpdesk Customer Service &amp; Chat Buttons"
CVE-2026-48965,has_weakness,CWE-201
CAPEC-306,maps_to,T1181
CAPEC-681,maps_to,T1101
CAPEC-76,maps_to,T1070.002
CVE-2025-59872,has_weakness,CWE-209
CAPEC-192,maps_to,T1021.001
CVE-2026-54235,has_weakness,CWE-1287
CVE-2026-12289,has_weakness,CWE-269
CVE-2025-58953,affects,ThemeREX:Joly
T1547.008,mitigated_by,Privileged Process Integrity
CAPEC-184,maps_to,T1689
CWE-674,mapped_to,CAPEC-230
CVE-2026-46920,has_weakness,CWE-284
CAPEC-519,maps_to,T1053.006
CVE-2026-35261,affects,Oracle Corporation:Oracle Access Manager
CAPEC-453,maps_to,T1204.001
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-VXV5624S-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV4024S-W
CAPEC-259,maps_to,T1095
T1136.003,mitigated_by,Privileged Account Management
CAPEC-270,maps_to,T1150
T1070.008,mitigated_by,Remote Data Storage
CVE-2017-20257,has_weakness,CWE-89
CVE-2026-46903,has_weakness,CWE-287
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-HR50VFK-E7
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV5622S-W-2
CAPEC-538,maps_to,T1492
CAPEC-269,maps_to,T1058
CAPEC-23,maps_to,T1674
CWE-119,mapped_to,CAPEC-46
T1136,mitigated_by,Privileged Account Management
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MFZ-GXT50VFK
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV2822-T
CVE-2026-48141,affects,NI:InstrumentStudio
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM9024E4S-W
CAPEC-593,maps_to,T1574.004
CAPEC-535,maps_to,T1592.001
CAPEC-9,maps_to,T1114.001
CAPEC-664,maps_to,T1584.004
CWE-173,mapped_to,CAPEC-80
CVE-2026-49230,affects,Apache Software Foundation:Apache APISIX
T1557.002,mitigated_by,Encrypt Sensitive Information
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP71VGK2-ET1
CAPEC-471,maps_to,T1593
T1574.005,mitigated_by,Audit
CVE-2026-49359,affects,pontedilana:php-weasyprint
CAPEC-220,maps_to,T1572
CVE-2026-50200,has_weakness,CWE-319
CAPEC-260,maps_to,T1218.015
CAPEC-657,maps_to,T1502
CAPEC-564,maps_to,T1592.002
CVE-2019-25760,affects,Joomtech:Easy Shop
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM25E2-W
T1685.001,mitigated_by,User Account Management
T1558.003,mitigated_by,Encrypt Sensitive Information
CVE-2026-48779,affects,websockets:ws
CVE-2026-49764,has_weakness,CWE-288
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY42VGK-ET1
CAPEC-108,maps_to,T1127
CVE-2026-30803,has_weakness,CWE-191
CVE-2016-20073,affects,mattkaye:Answer My Question
CAPEC-654,maps_to,T1606
CVE-2025-69160,affects,ThemeREX:Gita
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-HR35VFK-ER2
CAPEC-656,maps_to,T1566.002
CAPEC-551,maps_to,T1556
CAPEC-673,maps_to,T1553.006
CWE-602,mapped_to,CAPEC-385
T1564.012,mitigated_by,Antivirus/Antimalware
CVE-2026-49230,has_weakness,CWE-354
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VG2R-EN1
CAPEC-278,maps_to,T1071.005
CAPEC-161,maps_to,T1492
CVE-2026-56012,affects,David Lingren:Media LIbrary Assistant
CVE-2026-12238,has_weakness,CWE-862
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VGW-ER1
CAPEC-76,maps_to,T1686
CVE-2026-56410,affects,libexpat project:libexpat
CVE-2026-50202,affects,SteeltoeOSS:Steeltoe.Security.Authentication.CloudFoundryBase
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZV4020S-W
CWE-308,mapped_to,CAPEC-645
CVE-2026-56346,has_weakness,CWE-306
CVE-2025-69148,affects,ThemeREX:Quirky
CVE-2025-58175,has_weakness,CWE-611
CVE-2026-49293,has_weakness,CWE-407
CVE-2026-49043,has_weakness,CWE-352
CVE-2026-48797,has_weakness,CWE-1295
CAPEC-643,maps_to,T1082
CVE-2026-53863,affects,OpenClaw:OpenClaw
CVE-2025-69135,affects,CurlyThemes:Events Schedule - WordPress Events Calendar Plugin
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VG4FL-ET1
CAPEC-461,maps_to,T1569
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VG2B-SC3
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP71VGK-ET2
CVE-2026-42357,affects,Apache Software Foundation:Apache DolphinScheduler
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Wireless LAN Adapters for Room Air Conditioners (for Japan) HM-WF001
CAPEC-652,maps_to,T1552.002
CAPEC-534,maps_to,T1204.003
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-R3623-W
CAPEC-652,maps_to,T1214
CVE-2026-46854,affects,Oracle Corporation:Oracle Enterprise Manager Base Platform
CAPEC-580,maps_to,T1049
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VG2B-ET1
CAPEC-538,maps_to,T1548.006
CVE-2026-11752,affects,LY Corporation:Armeria
CVE-2026-53704,affects,Red Hat:Red Hat Enterprise Linux 9
T1134,mitigated_by,User Account Management
CVE-2025-2669,affects,IBM:Db2 on Cloud Pak for Data and Db2 Warehouse on Cloud Pak for Data
CVE-2026-40456,affects,LMS:LMS
CVE-2026-47277,has_weakness,CWE-59
CAPEC-557,maps_to,T1072
CVE-2026-50169,has_weakness,CWE-441
CAPEC-90,maps_to,T1001.003
CAPEC-679,maps_to,T1555.002
CAPEC-550,maps_to,T1021.007
CAPEC-551,maps_to,T1562.012
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-BT35VGK-E1
CVE-2026-53899,has_weakness,CWE-345
CAPEC-461,maps_to,T1559.003
CVE-2026-56267,affects,Flowise:Flowise
CAPEC-155,maps_to,T1590
CVE-2026-46794,has_weakness,CWE-269
CAPEC-272,maps_to,T1048.002
CVE-2026-49107,has_weakness,CWE-502
CAPEC-220,maps_to,T1492
CVE-2026-48909,has_weakness,CWE-502
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-BXV2824-W
CVE-2026-35319,has_weakness,CWE-284
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-X2523-W
CVE-2026-56321,affects,Capgo:Capgo
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-JXV3626-W
CAPEC-390,maps_to,T1547.005
CVE-2026-12322,affects,Mozilla:Firefox
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW3622-W
CAPEC-636,maps_to,T1552.001
CAPEC-23,maps_to,T1683
CWE-89,mapped_to,CAPEC-7
CWE-1252,mapped_to,CAPEC-679
CAPEC-691,maps_to,T1502
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW4022S-T
CVE-2026-12314,affects,Mozilla:Firefox
T1036.007,mitigated_by,User Training
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN25VG2V-A3
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN18VG2V-E5
CVE-2026-38063,affects,n/a:n/a
CAPEC-235,maps_to,T1003.007
CAPEC-310,maps_to,T1595.001
T1591.003,mitigated_by,Pre-compromise
CAPEC-596,maps_to,T1546.012
CVE-2025-55647,has_weakness,CWE-190
CAPEC-551,maps_to,T1210
CVE-2026-51843,has_weakness,CWE-121
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM2526E6-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF50VGKW-E1
CWE-1259,mapped_to,CAPEC-121
CVE-2026-9692,affects,HAYAJO:Mojolicious::Sessions::Storable
CAPEC-234,maps_to,T1546.015
CAPEC-549,maps_to,T1204
CAPEC-390,maps_to,T1518.001
T1592.001,mitigated_by,Pre-compromise
CVE-2026-12047,has_weakness,CWE-79
CVE-2026-39468,has_weakness,CWE-22
CVE-2016-20089,affects,Iperiusremote:Iperius Remote
CAPEC-402,maps_to,T1556.002
CAPEC-188,maps_to,T1684
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF50VGKDW-A2
CAPEC-269,maps_to,T1492
CAPEC-387,maps_to,T1204.002
CVE-2026-22283,has_weakness,CWE-829
CVE-2026-48878,has_weakness,CWE-497
CVE-2026-54278,has_weakness,CWE-409
CWE-204,mapped_to,CAPEC-580
CAPEC-385,maps_to,T1565.002
T1489,mitigated_by,User Account Management
CVE-2026-46863,has_weakness,CWE-400
CVE-2026-39515,has_weakness,CWE-862
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV9021S-W-1
CAPEC-585,maps_to,T1003.005
CVE-2026-0068,has_weakness,CWE-362
CVE-2026-39451,has_weakness,CWE-79
CVE-2026-6045,affects,The Document Foundation:LibreOffice
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN25VGDB-A1
CAPEC-677,maps_to,T1583.003
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VG4MW-ET1
CAPEC-196,maps_to,T1110.004
CVE-2026-46958,affects,Oracle Corporation:Oracle Subledger Accounting
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZ56F1S-W
CWE-823,mapped_to,CAPEC-129
CVE-2026-49767,affects,Tomdever:wpForo Forum
CAPEC-639,maps_to,T1542.001
CVE-2026-12293,affects,Mozilla:Firefox
CAPEC-636,maps_to,T1558.005
CVE-2026-46919,has_weakness,CWE-287
CVE-2026-50203,has_weakness,CWE-22
CVE-2026-47847,has_weakness,CWE-798
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XD5626S-W
CAPEC-184,maps_to,T1195.002
T1583.001,mitigated_by,Pre-compromise
CWE-353,mapped_to,CAPEC-13
CVE-2026-45388,affects,n/a:n/a
