source,relation,target
CVE-2026-48777,has_weakness,CWE-22
CWE-307,mapped_to,CAPEC-653
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FD6322S-W
CVE-2026-40722,has_weakness,CWE-862
CVE-2026-47748,affects,leejet:stable-diffusion.cpp
CVE-2026-48821,affects,shaarli:Shaarli
CAPEC-523,maps_to,T1505
CVE-2026-53850,has_weakness,CWE-862
CAPEC-165,maps_to,T1548.006
T1587,mitigated_by,Pre-compromise
CVE-2026-46902,has_weakness,CWE-306
CAPEC-145,maps_to,T1557.003
CVE-2026-54017,has_weakness,CWE-22
CAPEC-692,maps_to,T1497.001
CAPEC-258,maps_to,T1499.004
CVE-2026-56022,affects,Webmin:Webmin
CWE-362,mapped_to,CAPEC-26
CVE-2026-56316,has_weakness,CWE-203
CAPEC-541,maps_to,T1213.005
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XK2523-W
CVE-2026-28587,has_weakness,CWE-862
CAPEC-227,maps_to,T1203
CAPEC-163,maps_to,T1194
T1218.013,mitigated_by,Execution Prevention
T1505.004,mitigated_by,Privileged Account Management
CVE-2026-46812,has_weakness,CWE-284
CAPEC-702,maps_to,T1622
CAPEC-636,maps_to,T1027
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF50VGKW-E2
CAPEC-142,maps_to,T1557.001
CAPEC-439,maps_to,T1565.001
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW5622S-W-1
CWE-20,mapped_to,CAPEC-230
CAPEC-643,maps_to,T1129
T1558.005,mitigated_by,Audit
CWE-20,mapped_to,CAPEC-53
CAPEC-260,maps_to,T1010
CAPEC-164,maps_to,T1534
CAPEC-54,maps_to,T1543
CVE-2026-7842,affects,Unknown:Infility Global
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Refrigerators (for Japan) MR-WXD52G
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN60VGR-ER1
CAPEC-643,maps_to,T1218
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN25VG2B-A1
CVE-2026-10639,affects,zephyrproject:zephyr
CWE-117,mapped_to,CAPEC-268
T1685,mitigated_by,Audit
CVE-2026-40724,affects,Client Portal Ltd.:Client Portal (Pro)
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FD6323S-W
CVE-2026-46940,has_weakness,CWE-284
CAPEC-453,maps_to,T1204.004
CAPEC-657,maps_to,T1204.002
CVE-2026-39579,affects,bPlugins:B Blocks
CVE-2026-46856,affects,Oracle Corporation:Oracle Enterprise Manager Base Platform
CVE-2026-54813,has_weakness,CWE-89
CVE-2026-48823,has_weakness,CWE-79
CAPEC-442,maps_to,T1505
CWE-294,mapped_to,CAPEC-94
CAPEC-670,maps_to,T1518.001
CAPEC-300,maps_to,T1595.001
CVE-2026-40743,affects,Themeum:Tutor LMS
CAPEC-578,maps_to,T1547.005
CWE-404,mapped_to,CAPEC-130
CVE-2026-48139,affects,NI:grpc-device
CWE-183,mapped_to,CAPEC-3
CVE-2026-9863,has_weakness,CWE-78
CAPEC-171,maps_to,T1565.002
CVE-2026-12308,affects,Mozilla:Thunderbird
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV9021S-W
CAPEC-260,maps_to,T1527
CVE-2026-12888,affects,Thinkst Applied Research:Canarytokens
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM3620E8-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-XK2226-W
CAPEC-220,maps_to,T1134
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VG2B-E5
CVE-2026-22551,has_weakness,CWE-201
CVE-2026-38716,affects,n/a:n/a
CVE-2026-46922,has_weakness,CWE-269
CVE-2025-32422,has_weakness,CWE-400
CAPEC-652,maps_to,T1555.003
CVE-2026-11776,has_weakness,CWE-89
CVE-2026-56218,has_weakness,CWE-200
