Model,Accuracy,Precision,Recall,F1,AUC
"ThreatGraphX-Tx (Two-Phase, Zero-Shot)",0.9201954397394136,0.9134615384615384,0.9283387622149837,0.9208400646203554,0.9738800647457504
R-GCN (Zero-Shot),0.9049945711183496,0.8752515090543259,0.9446254071661238,0.9086161879895561,0.9466531327771235
GraphSAGE (Zero-Shot),0.9039087947882736,0.848968105065666,0.9826275787187839,0.9109209864116758,0.9218099573116603
