Split,Accuracy,Precision,Recall,F1,AUC,AP
Standard (transductive),0.8300727934485896,0.8248992386923422,0.83803457688808,0.8314150304671631,0.8976994140591041,0.8949716535484448
Strict Zero-Shot,0.500542888165038,0.5004625346901017,0.5874049945711184,0.5404595404595405,0.5011134807206914,0.4961146832061665
