Model,Accuracy,Precision,Recall,F1 Score,AUC
GraphSAGE,0.760586319218241,0.8833865814696485,0.6004343105320304,0.7149321266968326,0.8781065758434219
R-GCN,0.7823018458197611,0.8812316715542522,0.6525515743756786,0.7498440424204617,0.8994472089889548
ThreatGraphX-Tx,0.7757871878393051,0.8779761904761905,0.6406080347448425,0.7407407407407407,0.8924680603743511
